Species,Length,Weight
Acheilognathus longipinnis,8,NA
Acheilognathus macromandibularis,5.19,NA
Acheilognathus macropterus,27.5,NA
Acheilognathus majusculus,10.04,NA
Acheilognathus melanogaster,NA,NA
Acheilognathus meridianus,11.9,23.9
Acheilognathus microphysa,6.75,NA
Acheilognathus nguyenvanhaoi,NA,NA
Acheilognathus omeiensis,7.22,NA
Acheilognathus peihoensis,NA,NA
Acheilognathus polylepis,9.5,NA
Acheilognathus polyspinus,NA,NA
Acheilognathus rhombeus,NA,NA
Acheilognathus striatus,5.43,NA
Acheilognathus tabira,7.93,NA
Acheilognathus taenianalis,11.1,NA
Acheilognathus tonkinensis,9.2,NA
Acheilognathus typus,NA,NA
Acheilognathus yamatsutae,16,NA
Achiroides leucorhynchos,8,NA
Achiroides melanorhynchus,14,NA
Achiropsetta tricholepis,39,NA
Achirus achirus,37,1000
Achirus declivis,18.7,90.2
Achirus klunzingeri,23,NA
Achirus lineatus,33.1,29.5
Achirus mazatlanus,22.5,NA
Achirus mucuri,9.03,NA
Achirus novoae,10.6,NA
Achirus scutum,28,NA
Achirus zebrinus,NA,NA
Achoerodus gouldii,175,NA
Achoerodus viridis,62,NA
Achondrostoma arcasii,25,NA
Achondrostoma occidentale,9.5,NA
Achondrostoma oligolepis,25,NA
Achondrostoma salmantinum,6.82,NA
Acinocheirodon melanogramma,3.77,NA
Acipenser baerii,200,210000
Acipenser brevirostrum,143,23000
Acipenser dabryanus,250,NA
Acipenser fulvescens,274,125000
Acipenser gueldenstaedtii,236,115000
Acipenser medirostris,270,159000
Acipenser mikadoi,150,NA
Acipenser naccarii,200,25000
Acipenser nudiventris,211,80000
Acipenser oxyrinchus,403,NA
Acipenser persicus,255,70000
Acipenser ruthenus,125,16000
Acipenser schrenckii,300,190000
Acipenser sinensis,130,600000
Acipenser stellatus,250,80000
Acipenser sturio,600,400000
Acipenser transmontanus,610,816000
Acnodon normani,19.9,110
Acnodon oligacanthus,20,NA
Acnodon senai,13.2,NA
Acreichthys hajam,7,NA
Acreichthys radiatus,7,NA
Acreichthys tomentosus,14,NA
Acrobrycon ipanquianus,12,NA
Acrobrycon ortii,6.13,NA
Acrobrycon starnesi,7.25,NA
Acrocheilus alutaceus,30,NA
Acrochordonichthys chamaeleon,9.9,NA
Acrochordonichthys falcifer,9.21,NA
Acrochordonichthys guttatus,9.77,NA
Acrochordonichthys gyrinus,10,NA
Acrochordonichthys ischnosoma,10.1,NA
Acrochordonichthys mahakamensis,8.32,NA
Acrochordonichthys pachyderma,14.48,NA
Acrochordonichthys rugosus,11,NA
Acrochordonichthys septentrionalis,10.13,NA
Acrochordonichthys strigosus,8.35,NA
Acromycter alcocki,25.3,NA
Acromycter atlanticus,29.5,NA
Acromycter longipectoralis,NA,NA
Acromycter nezumi,40,NA
Acromycter perturbator,NA,NA
Acropoma argentistigma,NA,NA
Acropoma boholensis,13.2,NA
Acropoma hanedai,13.52,NA
Acropoma japonicum,20,NA
Acropoma lecorneti,35,NA
Acropoma profundum,NA,NA
Acrossocheilus aluoiensis,NA,NA
Acrossocheilus baolacensis,NA,NA
Acrossocheilus beijiangensis,13.1,NA
Acrossocheilus clivosius,20,84.9
Acrossocheilus fasciatus,19.16,NA
Acrossocheilus hemispinus,20,NA
Acrossocheilus ikedai,10.72,NA
Acrossocheilus iridescens,29.7,NA
Acrossocheilus jishouensis,16.94,NA
Acrossocheilus kreyenbergii,15.45,NA
Acrossocheilus lamus,NA,NA
Acrossocheilus longipinnis,10,NA
Acrossocheilus macrophthalmus,NA,NA
Acrossocheilus malacopterus,15.29,NA
Acrossocheilus microstoma,NA,NA
Acrossocheilus monticola,18,NA
Acrossocheilus multistriatus,11.709,NA
Acrossocheilus paradoxus,22.5,111
Acrossocheilus parallens,21,115.9
Acrossocheilus rendahli,17.3,NA
Acrossocheilus spinifer,15.29,NA
Acrossocheilus wenchowensis,15.5,NA
Acrossocheilus wuyiensis,15.9,NA
Acrossocheilus xamensis,23.53,NA
Acrossocheilus yalyensis,NA,NA
Acrossocheilus yunnanensis,26.3,NA
Acroteriobatus annulatus,140,NA
Acroteriobatus blochii,100,NA
Acroteriobatus leucospilus,120,NA
Acroteriobatus ocellatus,81,NA
Acroteriobatus omanensis,60,NA
Acroteriobatus salalah,78,NA
Acroteriobatus variegatus,75,NA
Acroteriobatus zanzibarensis,75,NA
Aculeola nigra,60,NA
Acyrtops amplicirrus,1.86,NA
Acyrtops beryllinus,2.5,NA
Acyrtus artius,3,NA
Acyrtus lanthanum,2.38,NA
Acyrtus pauciradiatus,1.63,NA
Acyrtus rubiginosus,3.5,NA
Adelosebastes latens,30,NA
Adelotremus deloachi,3.5,NA
Adelotremus leptus,NA,NA
Adontosternarchus balaenops,25,NA
Adontosternarchus clarkae,18.6,NA
Adontosternarchus devenanzii,18.6,NA
Adontosternarchus duartei,18.5,NA
Adontosternarchus nebulosus,21.8,NA
Adontosternarchus sachsi,32.2,NA
Adrianichthys kruyti,16,NA
Adrianichthys oophorus,8.5,NA
Adrianichthys poptae,17.1,NA
Adrianichthys roseni,9,NA
Adventor elongatus,NA,NA
Aeoliscus punctulatus,15,NA
Aeoliscus strigatus,15,NA
Aequidens chimantanus,10.2,NA
Aequidens diadema,11.8,NA
Aequidens epae,11.3,NA
Aequidens gerciliae,12.8,NA
Aequidens mauesanus,13.4,NA
Aequidens metae,12.5,NA
Aequidens michaeli,20,NA
Aequidens pallidus,14.3,NA
Aequidens paloemeuensis,9.5,NA
Aequidens patricki,11.6,NA
Aequidens plagiozonatus,10.3,NA
Aequidens potaroensis,10,NA
Aequidens rondoni,9.7,NA
Aequidens tetramerus,16.2,NA
Aequidens tubicen,11.6,NA
Aequidens viridis,16.5,NA
Aesopia cornuta,25,NA
Aetapcus maculatus,21,NA
Aethaloperca rogaa,60,NA
Aetheliparis taurocanis,NA,NA
Aethotaxis mitopteryx mitopteryx,42,NA
Aethotaxis mitopteryx pawsoni,18.5,NA
Aetobatus flagellum,72,13930
Aetobatus narinari,330,230000
Aetobatus narutobiei,100,14400
Aetobatus ocellatus,152.8,200000
Aetomylaeus asperrimus,79,NA
Aetomylaeus bovinus,NA,116000
Aetomylaeus caeruleofasciatus,59.1,NA
Aetomylaeus maculatus,200,NA
Aetomylaeus milvus,NA,NA
Aetomylaeus nichofii,65,NA
Aetomylaeus vespertilio,240,NA
Afronandus sheljuzhkoi,4.2,NA
Afronemacheilus abyssinicus,5.07,NA
Afronemacheilus kaffa,5.53,NA
Afurcagobius suppositus,11,NA
Afurcagobius tamarensis,11,NA
Agamyxis albomaculatus,15,NA
Agamyxis pectinifrons,15,NA
Ageneiosus inermis,64.8,3080
Ageneiosus magoi,18.1,NA
Ageneiosus marmoratus,18.5,NA
Ageneiosus militaris,30,135
Ageneiosus pardalis,46.2,972
Ageneiosus polystictus,45,NA
Ageneiosus ucayalensis,35.2,276
Ageneiosus uranophthalmus,NA,NA
Ageneiosus vittatus,22,NA
Agoniates anchovia,14.8,NA
Agoniates halecinus,26.8,115
Agonomalus jordani,18,NA
Agonomalus mozinoi,8.9,NA
Agonomalus proboscidalis,20,NA
Agonopsis asperoculis,NA,NA
Agonopsis chiloensis,12.5,NA
Agonopsis sterletus,15,NA
Agonopsis vulsa,20,NA
Agonostomus catalai,20,NA
Agonostomus monticola,36,NA
Agonostomus telfairii,75,NA
Agonus cataphractus,21,NA
Agosia chrysogaster,10,NA
Agrostichthys parkeri,300,NA
Aguarunichthys inpai,42,NA
Aguarunichthys tocantinsensis,31.7,NA
Aguarunichthys torosus,34.6,NA
Ahlia egmontis,43.3,NA
Ahliesaurus berryi,26.9,NA
Ahliesaurus brevis,21,NA
Aiakas kreffti,30.1,NA
Aiakas zinorum,8.7,NA
Aidablennius sphynx,8,NA
Ailia coila,30,NA
Ailiichthys punctata,10.08,NA
Aioliops brachypterus,2.4,NA
Aioliops megastigma,3,NA
Aioliops novaeguineae,2.3,NA
Aioliops tetrophthalmus,NA,NA
Akarotaxis nudiceps,13,NA
Akawaio penak,21.7,NA
Akihito futuna,6,NA
Akihito vanuatu,4.32,NA
Akko brevis,NA,NA
Akko dionaea,8.05,NA
Akko rossi,9,NA
Akrokolioplax bicornis,16,NA
Akysis bilustris,2.53,NA
Akysis brachybarbatus,3.41,NA
Akysis clavulus,3.5,NA
Akysis clinatus,3.3,NA
Akysis ephippifer,3.36,NA
Akysis fontaneus,2.35,NA
Akysis fuliginatus,2.15,NA
Akysis galeatus,2.81,NA
Akysis hendricksoni,4.87,NA
Akysis heterurus,NA,NA
Akysis longifilis,5.31,NA
Akysis maculipinnis,3.13,NA
Akysis manipurensis,NA,NA
Akysis microps,2.88,NA
Akysis pictus,5.92,NA
Akysis portellus,3.43,NA
Akysis prashadi,6.21,NA
Akysis pulvinatus,2.96,NA
Akysis recavus,4,NA
Akysis scorteus,3.2,NA
Akysis variegatus,4.3,NA
Akysis varius,4,NA
Akysis vespa,3.14,NA
Akysis vespertinus,3.43,NA
Alabes bathys,3.9,NA
Alabes brevis,2.3,NA
Alabes dorsalis,12,NA
Alabes elongata,9.2,NA
Alabes gibbosa,9.1,NA
Alabes hoesei,4.5,NA
Alabes obtusirostris,4.6,NA
Alabes occidentalis,4,NA
Alabes parvula,5,NA
Alabes scotti,4.8,NA
Alabes springeri,3.1,NA
Albatrossia pectoralis,210,86000
Albula argentea,70,NA
Albula esuncula,32,NA
Albula gilberti,25.7,NA
Albula glossodonta,90,8610
Albula goreensis,NA,NA
Albula koreana,35.01,NA
Albula nemoptera,51,NA
Albula oligolepis,35.4,NA
Albula pacifica,NA,NA
Albula virgata,32.2,NA
Albula vulpes,104,10000
Albulichthys albuloides,30,NA
Alburnoides bipunctatus,18.5,30
Alburnoides coadi,10.79,NA
Alburnoides devolli,9.52,NA
Alburnoides economoui,8.74,NA
Alburnoides eichwaldii,11.3,NA
Alburnoides emineae,7.6,NA
Alburnoides fangfangae,7.25,NA
Alburnoides fasciatus,13.8,32
Alburnoides freyhofi,9.3,NA
Alburnoides gmelini,8.31,NA
Alburnoides holciki,10.18,NA
Alburnoides idignensis,9,NA
Alburnoides kosswigi,9.7,NA
Alburnoides kubanicus,NA,NA
Alburnoides kurui,9,NA
Alburnoides maculatus,7.3,NA
Alburnoides manyasensis,9.2,NA
Alburnoides namaki,9.69,NA
Alburnoides nicolausi,7.5,NA
Alburnoides oblongus,14.2,NA
Alburnoides ohridanus,9,NA
Alburnoides parhami,6.65,NA
Alburnoides petrubanarescui,8.88,NA
Alburnoides prespensis,13.1,5.4
Alburnoides qanati,7.2,NA
Alburnoides recepi,7.6,NA
Alburnoides rossicus,NA,NA
Alburnoides samiii,8.15,NA
Alburnoides strymonicus,8.27,NA
Alburnoides tabarestanensis,8.3,NA
Alburnoides taeniatus,9,NA
Alburnoides thessalicus,8.14,NA
Alburnoides varentsovi,9.12,NA
Alburnoides velioglui,8.8,NA
Alburnus adanensis,22,NA
Alburnus akili,1.47,NA
Alburnus albidus,11,NA
Alburnus alburnus,25,60
Alburnus amirkabiri,11.32,NA
Alburnus arborella,12.7,NA
Alburnus atropatenae,13.91,NA
Alburnus attalus,9.96,NA
Alburnus baliki,6.05,NA
Alburnus battalgilae,10.75,NA
Alburnus belvica,13.6,NA
Alburnus caeruleus,9.21,NA
Alburnus carinatus,18.1,NA
Alburnus chalcoides,40,NA
Alburnus danubicus,20,NA
Alburnus demiri,9.41,NA
Alburnus derjugini,10.75,NA
Alburnus doriae,NA,NA
Alburnus escherichii,10.22,NA
Alburnus filippii,16,NA
Alburnus heckeli,11.92,NA
Alburnus hohenackeri,15,NA
Alburnus istanbulensis,18,NA
Alburnus kotschyi,NA,NA
Alburnus leobergi,40.3,NA
Alburnus macedonicus,14.5,NA
