Species,Length,Weight
Allomogurnda flavimarginata,6.1,NA
Allomogurnda hoesei,7.8,NA
Allomogurnda insularis,5.47,NA
Allomogurnda landfordi,5.85,NA
Allomogurnda montana,6.1,NA
Allomogurnda multicincta,3.6,NA
Allomogurnda nesolepis,4.6,NA
Allomogurnda papua,11.7,NA
Allomogurnda sampricei,4.91,NA
Allomycterus pilatus,50,NA
Alloophorus robustus,12,NA
Allosmerus elongatus,22.9,NA
Allothunnus fallai,105,13700
Allotoca catarinae,5,NA
Allotoca diazi,10,NA
Allotoca dugesii,6.5,NA
Allotoca goslinei,6,NA
Allotoca maculata,6.5,NA
Allotoca meeki,7,NA
Allotoca regalis,7.5,NA
Allotoca zacapuensis,3,NA
Alopias pelagicus,428,NA
Alopias superciliosus,487.985,363800
Alopias vulpinus,573.3,348000
Alosa aestivalis,40,200
Alosa agone,42.6,760
Alosa alabamae,51,NA
Alosa algeriensis,43.5,NA
Alosa alosa,69,4000
Alosa braschnikowi,50,NA
Alosa caspia,32,250
Alosa chrysochloris,50,1700
Alosa curensis,19,NA
Alosa fallax,60,1500
Alosa immaculata,39,NA
Alosa kessleri,52,1200
Alosa killarnensis,20,NA
Alosa macedonica,35.1,600
Alosa maeotica,32,NA
Alosa mediocris,60,NA
Alosa pseudoharengus,40,200
Alosa sapidissima,76,5500
Alosa saposchnikowii,38.1,469
Alosa sphaerocephala,25,NA
Alosa suworowi,26.8,NA
Alosa tanaica,24.6,59
Alosa vistonica,17,NA
Alosa volgensis,35,NA
Alphestes afer,33,NA
Alphestes immaculatus,30,NA
Alphestes multiguttatus,30,NA
Alticorpus geoffreyi,15.5,NA
Alticorpus macrocleithrum,12.7,NA
Alticorpus mentale,20.1,NA
Alticorpus peterdaviesi,15,NA
Alticorpus profundicola,12.4,NA
Alticus anjouanae,7.62,NA
Alticus arnoldorum,8,NA
Alticus kirkii,11,NA
Alticus magnusi,NA,NA
Alticus monochrus,10,NA
Alticus montanoi,10,NA
Alticus orientalis,8.75,NA
Alticus saliens,10,NA
Alticus sertatus,8,NA
Alticus simplicirrus,12,NA
Altolamprologus calvus,13.5,NA
Altolamprologus compressiceps,12.3,NA
Altrichthys azurelineatus,6.5,NA
Altrichthys curatus,6.5,NA
Aluterus heudelotii,45,NA
Aluterus monoceros,76.2,2710
Aluterus schoepfii,61,NA
Aluterus scriptus,110,2500
Amamiichthys matsubarai,60,NA
Amanses scopas,20,NA
Amaralia hypsiura,13.3,NA
Amaralia oviraptor,12.28,NA
Amarginops platus,17,NA
Amarsipus carlsbergi,21.2,NA
Amatitlania altoflava,9,NA
Amatitlania coatepeque,9.1,NA
Amatitlania kanna,8.3,NA
Amatitlania myrnae,8,NA
Amatitlania nanolutea,6.4,NA
Amatitlania nigrofasciata,10,NA
Amatitlania sajica,9,NA
Amatitlania septemfasciata,10,NA
Amatitlania siquia,7.9,NA
Amazonspinther dalmata,1.979,NA
Amazonsprattus scintilla,2,NA
Ambassis agassizii,7.5,NA
Ambassis agrammus,7.5,NA
Ambassis ambassis,15,NA
Ambassis buruensis,8.2,NA
Ambassis buton,5,NA
Ambassis dussumieri,10,NA
Ambassis elongata,7.5,NA
Ambassis fontoynonti,6,NA
Ambassis gymnocephalus,16,NA
Ambassis interrupta,12,12
Ambassis jacksoniensis,7,NA
Ambassis kopsii,10.2,NA
Ambassis macleayi,9,NA
Ambassis macracanthus,10.5,NA
Ambassis marianus,10,NA
Ambassis miops,10.3,NA
Ambassis nalua,12.5,NA
Ambassis natalensis,9,NA
Ambassis urotaenia,14,NA
Ambassis vachellii,6.5,NA
Ambastaia nigrolineata,8,NA
Ambastaia sidthimunki,5.5,NA
Ambiserrula jugosa,12.1,NA
Ambloplites ariommus,30.5,820
Ambloplites cavifrons,36,620
Ambloplites constellatus,27.9,450
Ambloplites rupestris,43,1360
Amblyceps accari,4.7,NA
Amblyceps apangi,15.9,NA
Amblyceps arunchalensis,9.72,NA
Amblyceps caecutiens,7.3,NA
Amblyceps carinatum,3.6,NA
Amblyceps cerinum,9.73,NA
Amblyceps foratum,8.51,NA
Amblyceps kurzii,5.63,NA
Amblyceps laticeps,4.21,NA
Amblyceps macropterus,4.94,NA
Amblyceps mangois,12.5,NA
Amblyceps murraystuarti,12.83,NA
Amblyceps platycephalus,12,NA
Amblyceps protentum,NA,NA
Amblyceps serratum,4.53,NA
Amblyceps tenuispinis,6.61,NA
Amblyceps torrentis,9.55,NA
Amblyceps tuberculatum,9.72,NA
Amblyceps variegatum,6.29,NA
Amblyceps waikhomi,4.47,NA
Amblyceps yunnanensis,7.598,NA
Amblychaeturichthys hexanema,17.4,24.8
Amblychaeturichthys sciistius,6,NA
Amblycirrhitus bimacula,8.5,NA
Amblycirrhitus earnshawi,6.65,NA
Amblycirrhitus oxyrhynchos,5.2,NA
Amblycirrhitus pinos,9.5,NA
Amblycirrhitus unimacula,8.5,NA
Amblydoras affinis,10,NA
Amblydoras bolivarensis,10.2,NA
Amblydoras gonzalezi,9.8,NA
Amblydoras monitor,9,NA
Amblydoras nauticus,7.5,NA
Amblyeleotris arcupinna,11,NA
Amblyeleotris aurora,11,NA
Amblyeleotris bellicauda,NA,NA
Amblyeleotris biguttata,10.4,NA
Amblyeleotris bleekeri,5.77,NA
Amblyeleotris callopareia,7.8,NA
Amblyeleotris cephalotaenius,NA,NA
Amblyeleotris delicatulus,NA,NA
Amblyeleotris diagonalis,11,NA
Amblyeleotris downingi,14,NA
Amblyeleotris ellipse,4.4,NA
Amblyeleotris fasciata,8,NA
Amblyeleotris fontanesii,25,NA
Amblyeleotris guttata,11,NA
Amblyeleotris gymnocephala,14,NA
Amblyeleotris harrisorum,NA,NA
Amblyeleotris japonica,8.5,NA
Amblyeleotris latifasciata,13,NA
Amblyeleotris macronema,8,NA
Amblyeleotris marquesas,7.5,NA
Amblyeleotris masuii,11,NA
Amblyeleotris melanocephala,NA,NA
Amblyeleotris morishitai,NA,NA
Amblyeleotris neglecta,3.4,NA
Amblyeleotris neumanni,5.49,NA
Amblyeleotris novaecaledoniae,9.5,NA
Amblyeleotris ogasawarensis,10,NA
Amblyeleotris periophthalma,11,NA
Amblyeleotris randalli,12,NA
Amblyeleotris rhyax,NA,NA
Amblyeleotris rubrimarginata,11,NA
Amblyeleotris steinitzi,13,NA
Amblyeleotris stenotaeniata,6.6,NA
Amblyeleotris sungami,10,NA
Amblyeleotris taipinensis,4.42,NA
Amblyeleotris triguttata,9,NA
Amblyeleotris wheeleri,10,NA
Amblyeleotris yanoi,13,NA
Amblygaster clupeoides,21,NA
Amblygaster indiana,2.93,NA
Amblygaster leiogaster,23,NA
Amblygaster sirm,27,NA
Amblyglyphidodon aureus,13,NA
Amblyglyphidodon batunai,10,NA
Amblyglyphidodon curacao,11,NA
Amblyglyphidodon flavilatus,10,NA
Amblyglyphidodon flavopurpureus,9.4,NA
Amblyglyphidodon indicus,8.3,NA
Amblyglyphidodon leucogaster,13,NA
Amblyglyphidodon melanopterus,10.17,NA
Amblyglyphidodon orbicularis,8.3,NA
Amblyglyphidodon silolona,12.5,NA
Amblyglyphidodon ternatensis,10,NA
Amblygobius albimaculatus,18,NA
Amblygobius buanensis,7.5,NA
Amblygobius bynoensis,10,NA
Amblygobius calvatus,3.3,NA
Amblygobius cheraphilus,2.74,NA
Amblygobius decussatus,9.5,NA
Amblygobius esakiae,8.5,NA
Amblygobius linki,6.5,NA
Amblygobius magnusi,5.3,NA
Amblygobius nocturnus,10,NA
Amblygobius phalaena,15,NA
Amblygobius semicinctus,11,NA
Amblygobius sewardii,NA,NA
Amblygobius sphynx,18,NA
Amblygobius stethophthalmus,8.5,NA
Amblygobius tekomaji,3.8,NA
Amblyopsis hoosieri,8.24,NA
Amblyopsis rosae,6.2,NA
Amblyopsis spelaea,11,NA
Amblyotrypauchen arctocephalus,NA,NA
Amblypharyngodon atkinsonii,15,NA
Amblypharyngodon chulabhornae,4,NA
Amblypharyngodon melettinus,8,NA
Amblypharyngodon microlepis,10,NA
Amblypharyngodon mola,20,NA
Amblypomacentrus breviceps,8.5,NA
Amblypomacentrus clarus,6,NA
Amblypomacentrus vietnamicus,NA,NA
Amblyraja badia,86,NA
Amblyraja doellojuradoi,69,NA
Amblyraja frerichsi,91,NA
Amblyraja georgiana,115,NA
Amblyraja hyperborea,112,NA
Amblyraja jenseni,74.25,NA
Amblyraja radiata,105,11400
Amblyraja reversa,60,NA
Amblyraja robertsi,77,NA
Amblyraja taaf,90,NA
Amblyrhynchichthys micracanthus,19.67,NA
Amblyrhynchichthys truncatus,40,NA
Amblyrhynchotes honckenii,30,NA
Amblyrhynchotes rufopunctatus,NA,NA
Ambophthalmos angustus,29,NA
Ambophthalmos eurystigmatephoros,26.2,NA
Ambophthalmos magnicirrus,25,NA
Ameca splendens,8,NA
Ameiurus brunneus,29,NA
Ameiurus catus,95,9750
Ameiurus melas,66,3620
Ameiurus natalis,60,1920
Ameiurus nebulosus,55,2740
Ameiurus platycephalus,29,NA
Ameiurus serracanthus,28,NA
Amia calva,109,9750
Amioides polyacanthus,22,NA
Amissidens hainesi,32,NA
Ammocrypta beanii,7.2,NA
Ammocrypta bifascia,7.7,NA
Ammocrypta clara,7.1,NA
Ammocrypta meridiana,7,NA
Ammocrypta pellucida,8.4,NA
Ammocrypta vivax,7.3,NA
Ammocryptocharax elegans,3.25,NA
Ammocryptocharax lateralis,2.83,NA
Ammocryptocharax minutus,2,NA
Ammocryptocharax vintonae,9.01,NA
Ammodytes americanus,23.5,NA
Ammodytes dubius,25,NA
Ammodytes hexapterus,30,100
Ammodytes marinus,25,NA
Ammodytes personatus,15,NA
Ammodytes tobianus,20,NA
Ammodytoides gilli,11.6,NA
Ammodytoides idai,12.13,NA
Ammodytoides kanazawai,6.32,NA
Ammodytoides kimurai,12.06,NA
Ammodytoides leptus,12.7,NA
Ammodytoides praematura,6.1,NA
Ammodytoides pylei,17.3,NA
Ammodytoides renniei,7.3,NA
Ammodytoides vagus,15,NA
Ammodytoides xanthops,12.2,NA
Ammoglanis amapaensis,1.78,NA
Ammoglanis diaphanus,1.87,NA
Ammoglanis pulex,1.49,NA
Ammolabrus dicrus,9.41,NA
Ammotretis brevipinnis,38,NA
Ammotretis elongatus,22,NA
Ammotretis lituratus,23,NA
Ammotretis macrolepis,10,NA
Ammotretis rostratus,30,NA
Amniataba affinis,15,NA
Amniataba caudavittata,30,NA
Amniataba percoides,18,NA
Amoya gracilis,14,NA
Amoya madraspatensis,7,NA
Amoya signata,5.5,NA
Amoya veliensis,NA,NA
Amphelikturus dendriticus,7.5,NA
Amphiarius phrygiatus,35.5,NA
Amphiarius rugispinis,47,NA
Amphichaetodon howensis,18,NA
Amphichaetodon melbae,14.5,NA
Amphichthys cryptocentrus,40,1200
Amphichthys rubigenis,NA,NA
Amphilius atesuensis,9.3,NA
Amphilius athiensis,16.03,NA
Amphilius brevis,8.4,NA
Amphilius caudosignatus,4.96,NA
Amphilius chalei,6.97,NA
Amphilius crassus,8.63,NA
Amphilius cryptobullatus,13.47,NA
Amphilius dimonikensis,5.56,NA
Amphilius frieli,13.56,NA
Amphilius grandis,18.14,NA
Amphilius jacksonii,15,NA
Amphilius kakrimensis,4.2,NA
Amphilius kivuensis,10.6,NA
Amphilius korupi,6.5,NA
Amphilius krefftii,20.8,NA
Amphilius lamani,9.6,NA
Amphilius lampei,10,NA
Amphilius laticaudatus,5.2,NA
Amphilius lentiginosus,11.8,NA
Amphilius longirostris,8.2,NA
Amphilius lujani,11.95,NA
Amphilius maesii,8.8,NA
Amphilius mamonekenensis,7.16,NA
Amphilius natalensis,12.5,NA
Amphilius nigricaudatus,7.3,NA
Amphilius opisthophthalmus,8.4,NA
Amphilius pedunculus,11.88,NA
Amphilius platychir,9.2,NA
Amphilius pulcher,7.8,NA
Amphilius rheophilus,12.2,NA
Amphilius ruziziensis,12.06,NA
Amphilius uranoscopus,19.5,NA
Amphilius zairensis,9.35,NA
Amphilophus amarillo,15.5,NA
Amphilophus astorquii,15.46,NA
Amphilophus chancho,24.24,NA
Amphilophus citrinellus,24.4,NA
Amphilophus flaveolus,13.64,NA
Amphilophus globosus,16.46,NA
Amphilophus hogaboomorum,15,NA
Amphilophus labiatus,24,NA
Amphilophus lyonsi,15,NA
Amphilophus margaritifer,12.7,NA
Amphilophus sagittae,16,NA
Amphilophus supercilius,16.78,NA
Amphilophus tolteca,14.96,NA
Amphilophus viridis,19.17,NA
Amphilophus xiloaensis,16,NA
Amphilophus zaliosus,20,NA
Amphiprion akallopisos,11,NA
Amphiprion akindynos,9,NA
Amphiprion allardi,15,NA
Amphiprion barberi,8.58,NA
Amphiprion bicinctus,14,NA
Amphiprion chagosensis,11,NA
Amphiprion chrysogaster,15,NA
Amphiprion chrysopterus,17,NA
Amphiprion clarkii,15,NA
Amphiprion ephippium,14,NA
Amphiprion frenatus,14,NA
Amphiprion fuscocaudatus,14,NA
Amphiprion latezonatus,14,NA
Amphiprion latifasciatus,13,NA
Amphiprion leucokranos,12,NA
Amphiprion mccullochi,12,NA
Amphiprion melanopus,12,NA
Amphiprion nigripes,11,NA
Amphiprion ocellaris,11,NA
Amphiprion omanensis,14,NA
Amphiprion pacificus,4.83,NA
Amphiprion percula,11,NA
Amphiprion perideraion,10,NA
Amphiprion polymnus,13,NA
Amphiprion rubrocinctus,12,NA
Amphiprion sandaracinos,14,NA
Amphiprion sebae,16,NA
Amphiprion thiellei,9,NA
Amphiprion tricinctus,12,NA
Amphistichus argenteus,43,2000
Amphistichus koelzi,31,NA
Amphistichus rhodoterus,41,NA
Amsichthys knighti,4.5,NA
Anabarilius alburnops,29,NA
Anabarilius andersoni,24,NA
Anabarilius brevianalis,12.5,NA
Anabarilius duoyiheensis,NA,NA
Anabarilius goldenlineus,NA,NA
Anabarilius grahami,15.6,NA
Anabarilius liui chenghaiensis,22.3,NA
Anabarilius liui liui,27.3,NA
Anabarilius liui yalongensis,NA,NA
Anabarilius liui yiliangensis,25.6,NA
Anabarilius longicaudatus,20,NA
Anabarilius macrolepis,14.8,NA
Anabarilius maculatus,13.9,NA
Anabarilius paucirastellus,NA,NA
Anabarilius polylepis,22.7,NA
Anabarilius qiluensis,13.4,NA
Anabarilius qionghaiensis,26,NA
Anabarilius songmingensis,10,NA
Anabarilius transmontanus,16,NA
Anabarilius xundianensis,27,NA
Anabarilius yangzonensis,21.7,NA
Anabas cobojius,30,NA
Anabas testudineus,25,NA
Anableps anableps,30,400
Anableps dowei,22,NA
Anableps microlepis,32,500
Anablepsoides amanan,2.81,NA
Anablepsoides amphoreus,6,NA
Anablepsoides atratus,4,NA
Anablepsoides bahianus,5.5,NA
Anablepsoides beniensis,4,NA
Anablepsoides bondi,NA,NA
Anablepsoides cajariensis,5.62,NA
Anablepsoides caurae,3.9,NA
Anablepsoides cearensis,NA,NA
Anablepsoides christinae,6.5,NA
Anablepsoides cryptocallus,8.5,NA
Anablepsoides deltaphilus,6,NA
Anablepsoides derhami,5,NA
Anablepsoides elongatus,5,NA
Anablepsoides erberi,6,NA
Anablepsoides fransvermeuleni,6.6,NA
Anablepsoides gamae,2.22,NA
Anablepsoides gaucheri,5.71,NA
Anablepsoides hartii,10,NA
Anablepsoides henschelae,2.25,NA
Anablepsoides holmiae,8,NA
Anablepsoides igneus,15,NA
Anablepsoides immaculatus,9.5,NA
Anablepsoides intermittens,7.5,NA
Anablepsoides iridescens,7.5,NA
Anablepsoides jari,3.1,NA
Anablepsoides jucundus,5,NA
Anablepsoides lanceolatus,5.5,NA
Anablepsoides limoncochae,7.5,NA
Anablepsoides lineasoppilatae,3.73,NA
Anablepsoides lungi,7.1,NA
Anablepsoides mazaruni,6,NA
Anablepsoides micropus,7,NA
Anablepsoides monticola,3.3,NA
Anablepsoides ophiomimus,8.5,NA
Anablepsoides ornatus,4,NA
Anablepsoides ottonii,2.22,NA
Anablepsoides parlettei,3.77,NA
Anablepsoides peruanus,5.5,NA
Anablepsoides roraima,3.18,NA
Anablepsoides rubrolineatus,6.5,NA
Anablepsoides speciosus,3.5,NA
Anablepsoides stagnatus,6,NA
Anablepsoides taeniatus,6,NA
Anablepsoides tessellatus,4.5,NA
Anablepsoides tocantinensis,NA,NA
Anablepsoides urophthalmus,7,NA
Anablepsoides waimacui,8.5,NA
Anablepsoides xanthonotus,7.5,NA
Anablepsoides xinguensis,NA,NA
Anacanthobatis donghaiensis,44,NA
Anacanthobatis marmorata,29,NA
Anacanthobatis nanhaiensis,NA,NA
Anacanthobythites platycephalus,10.65,NA
Anacanthobythites tasmaniensis,5.26,NA
Anacanthus barbatus,35,NA
Anadoras grypus,11.4,NA
Anadoras insculptus,NA,NA
Anadoras regani,11,NA
Anadoras weddellii,15,NA
Anaecypris hispanica,7.5,NA
Anampses caeruleopunctatus,42,NA
Anampses chrysocephalus,17,NA
Anampses cuvier,31,NA
Anampses elegans,29,NA
Anampses femininus,24,NA
Anampses geographicus,31,NA
Anampses lennardi,28,NA
Anampses lineatus,13,NA
Anampses melanurus,12,NA
Anampses meleagrides,22,NA
Anampses neoguinaicus,20,NA
Anampses twistii,18,NA
Anaora tentaculata,6,NA
Anarchias allardicei,17,NA
Anarchias cantonensis,21.9,NA
Anarchias euryurus,25,NA
Anarchias exulatus,29.3,NA
Anarchias galapagensis,17,NA
Anarchias leucurus,11.5,NA
Anarchias longicauda,NA,NA
Anarchias schultzi,15.9,NA
Anarchias seychellensis,29,NA
Anarchias similis,20,NA
Anarchias supremus,19.1,NA
Anarchopterus criniger,10,NA
Anarchopterus tectus,12.5,NA
Anarhichas denticulatus,180,20000
Anarhichas lupus,150,23580
Anarhichas minor,180,27900
Anarhichas orientalis,112,NA
Anarrhichthys ocellatus,240,18400
Anatirostrum profundorum,3.9,NA
Anatolanthias apiomycter,NA,NA
Ancharius fuscus,22.12,NA
Ancharius griseus,24.38,NA
Ancherythroculter daovantieni,NA,NA
Ancherythroculter kurematsui,22,NA
Ancherythroculter lini,19.1,NA
Ancherythroculter nigrocauda,24.6,NA
Ancherythroculter wangi,24,NA
Anchichoerops natalensis,75,NA
Anchicyclocheilus halfibindus,NA,NA
Anchoa analis,10,NA
Anchoa argentivittata,12.5,NA
Anchoa belizensis,5.8,NA
Anchoa cayorum,11,NA
Anchoa chamensis,6,NA
Anchoa choerostoma,7.5,NA
Anchoa colonensis,14,NA
Anchoa compressa,13.3,NA
Anchoa cubana,10,NA
Anchoa curta,8.9,NA
Anchoa delicatissima,12,NA
Anchoa eigenmannia,8,NA
Anchoa exigua,7.5,NA
Anchoa filifera,12,NA
Anchoa helleri,8.5,NA
Anchoa hepsetus,15.3,NA
Anchoa ischana,17,NA
Anchoa januaria,10.2,NA
Anchoa lamprotaenia,12,NA
Anchoa lucida,13.2,NA
Anchoa lyolepis,12,NA
Anchoa marinii,14,NA
Anchoa mitchilli,10,NA
Anchoa mundeola,12.5,NA
Anchoa mundeoloides,15,NA
Anchoa nasus,17,NA
Anchoa panamensis,18.7,49.8
Anchoa parva,9.1,NA
Anchoa pectoralis,6.8,NA
Anchoa scofieldi,6.2,NA
Anchoa spinifer,24,66.3
Anchoa starksi,7.7,NA
Anchoa tricolor,11.8,NA
Anchoa trinitatis,14,NA
Anchoa walkeri,14.5,NA
Anchovia clupeoides,30,NA
Anchovia macrolepidota,25,57.4
Anchovia surinamensis,15,NA
Anchoviella alleni,8.8,NA
Anchoviella balboae,7.2,NA
Anchoviella blackburni,3,NA
Anchoviella brevirostris,9,NA
Anchoviella carrikeri,6.5,NA
Anchoviella cayennensis,13.5,NA
Anchoviella elongata,11,NA
Anchoviella guianensis,11.3,NA
Anchoviella jamesi,5.02,NA
Anchoviella juruasanga,5.28,NA
Anchoviella lepidentostole,16.4,32
Anchoviella manamensis,2.5,NA
Anchoviella nattereri,5,NA
Anchoviella perezi,3.6,NA
Anchoviella perfasciata,11,NA
Anchoviella sanfranciscana,12.8,NA
Anchoviella vaillanti,6.8,NA
Ancistrogobius dipus,4.24,NA
Ancistrogobius squamiceps,2.98,NA
Ancistrogobius yanoi,3.68,NA
Ancistrogobius yoshigoui,4.06,NA
Ancistrus abilhoai,10.62,NA
Ancistrus agostinhoi,9.61,NA
Ancistrus aguaboensis,6.7,NA
Ancistrus bodenhameri,11.4,NA
Ancistrus bolivianus,8.8,NA
Ancistrus brevifilis,11.8,NA
Ancistrus brevipinnis,10.7,NA
Ancistrus bufonius,11.5,NA
Ancistrus caucanus,5.2,NA
Ancistrus centrolepis,18.4,NA
Ancistrus chagresi,19.5,NA
Ancistrus cirrhosus,8.9,NA
Ancistrus claro,6.6,NA
Ancistrus clementinae,10.2,NA
Ancistrus cryptophthalmus,6,NA
Ancistrus cuiabae,11.5,NA
Ancistrus damasceni,6.5,NA
Ancistrus dolichopterus,11.8,NA
Ancistrus dubius,12.6,NA
Ancistrus erinaceus,7.5,NA
Ancistrus eustictus,18,NA
Ancistrus falconensis,NA,NA
Ancistrus formoso,7.9,NA
Ancistrus fulvus,8.8,NA
Ancistrus galani,5.6,NA
Ancistrus greeni,6.5,NA
Ancistrus gymnorhynchus,14.2,NA
Ancistrus heterorhynchus,6.3,NA
Ancistrus hoplogenys,15.8,NA
Ancistrus jataiensis,5.4,NA
Ancistrus jelskii,8,NA
Ancistrus latifrons,15.4,NA
Ancistrus leucostictus,10,NA
Ancistrus lineolatus,9,NA
Ancistrus lithurgicus,13.2,NA
Ancistrus macrophthalmus,7.9,NA
Ancistrus maculatus,11.8,NA
Ancistrus malacops,7.7,NA
Ancistrus maracasae,8.3,NA
Ancistrus marcapatae,12.4,NA
Ancistrus martini,8.9,NA
Ancistrus mattogrossensis,NA,NA
Ancistrus maximus,20.08,NA
Ancistrus megalostomus,8.3,NA
Ancistrus minutus,5.7,NA
Ancistrus montanus,9.2,NA
Ancistrus mullerae,12.48,NA
Ancistrus multispinis,14.2,NA
Ancistrus nudiceps,7.9,NA
Ancistrus occidentalis,8.6,NA
Ancistrus occloi,11.6,NA
Ancistrus parecis,5.95,NA
Ancistrus pirareta,15.6,NA
Ancistrus piriformis,8.3,NA
Ancistrus ranunculus,19.5,153.67
Ancistrus reisi,6.08,NA
Ancistrus salgadae,2,NA
Ancistrus sericeus,5,NA
Ancistrus spinosus,17.6,NA
Ancistrus stigmaticus,15.2,NA
Ancistrus tamboensis,8.2,NA
Ancistrus taunayi,11.9,52.3
Ancistrus temminckii,9.8,NA
Ancistrus tolima,7.7,NA
Ancistrus tombador,6.28,NA
Ancistrus trinitatis,NA,NA
Ancistrus triradiatus,9.2,NA
Ancistrus variolus,4.8,NA
Ancistrus verecundus,5.46,NA
Ancistrus vericaucanus,7.21,NA
Ancylopsetta antillarum,NA,NA
Ancylopsetta cycloidea,25,NA
Ancylopsetta dendritica,35,NA
Ancylopsetta dilecta,25,NA
Ancylopsetta kumperae,25,NA
Ancylopsetta microctenus,NA,NA
Ancylopsetta ommata,25,NA
Andamia amphibius,NA,NA
Andamia cyclocheilus,NA,NA
Andamia expansa,NA,NA
Andamia heteroptera,6.4,NA
Andamia pacifica,NA,NA
Andamia reyi,10,NA
Andamia tetradactylus,10.5,NA
Andeancistrus eschwartzae,14.35,NA
Andeancistrus platycephalus,14.5,NA
Andersonia leptura,4.57,NA
Andinoacara biseriatus,8,NA
Andinoacara blombergi,10.52,NA
Andinoacara coeruleopunctatus,14.5,NA
Andinoacara latifrons,17,NA
Andinoacara pulcher,16,NA
Andinoacara rivulatus,20,NA
Andinoacara sapayensis,10,NA
Andinoacara stalsbergi,11.3,NA
Andriashevia aptera,19.3,NA
Andriashevicottus megacephalus,23.6,NA
Anduzedoras oxyrhynchus,32.3,NA
Anematichthys repasson,28,NA
Anguilla anguilla,121.5,6599
Anguilla australis,130,7480
Anguilla bengalensis,200,6000
Anguilla bicolor,123,NA
Anguilla borneensis,NA,NA
Anguilla celebesensis,150,NA
Anguilla dieffenbachii,185,25000
Anguilla interioris,80,NA
Anguilla japonica,150,1889
Anguilla labiata,175,20000
Anguilla luzonensis,100,NA
Anguilla malgumora,80,NA
Anguilla marmorata,70,20500
Anguilla megastoma,100,NA
Anguilla mossambica,150,750
Anguilla nebulosa,121,7000
Anguilla obscura,110,NA
Anguilla reinhardtii,165,22000
Anguilla rostrata,152,7330
Anisarchus macrops,17,NA
Anisarchus medius,30,NA
Anisochromis kenyae,3.1,NA
Anisochromis mascarenensis,2.52,NA
Anisochromis straussi,2.83,NA
Anisotremus caesius,30,NA
Anisotremus davidsonii,58,NA
Anisotremus interruptus,51,3570
Anisotremus moricandi,15.12,NA
Anisotremus scapularis,40,896
Anisotremus surinamensis,76,5780
Anisotremus taeniatus,31,NA
Anisotremus virginicus,40.6,930
Annamia normani,7.8,NA
Annamia thuathienensis,NA,NA
Anodontiglanis dahli,40,NA
Anodontostoma chacunda,22,NA
Anodontostoma selangkat,18,NA
Anodontostoma thailandiae,18,NA
Anodus elongatus,30.3,NA
Anodus orinocensis,27.5,NA
Anomalochromis thomasi,5,NA
Anomalops katoptron,35,NA
Anoplagonus inermis,15,NA
Anoplagonus occidentalis,10,NA
Anoplarchus insignis,12,NA
Anoplarchus purpurescens,20,NA
Anoplocapros amygdaloides,30,NA
Anoplocapros inermis,37,NA
Anoplocapros lenticularis,33,NA
Anoplogaster brachycera,6,NA
Anoplogaster cornuta,18,NA
Anoplopoma fimbria,120,NA
Anoptoplacus pygmaeus,NA,NA
Anostomoides atrianalis,NA,NA
Anostomoides laticeps,30,NA
Anostomoides passionis,30.6,NA
Anostomus anostomus,16,NA
Anostomus brevior,12,NA
Anostomus longus,NA,NA
Anostomus ternetzi,12,NA
Anostomus ucayalensis,NA,NA
Anotopterus nikparini,146,1650
Anotopterus pharao,96,NA
Anotopterus vorax,105,NA
Anoxypristis cuspidata,470,NA
Antennablennius adenensis,5,NA
Antennablennius australis,7,NA
Antennablennius bifilum,7.5,NA
Antennablennius ceylonensis,NA,NA
Antennablennius hypenetes,6.5,NA
Antennablennius sexfasciatus,NA,NA
Antennablennius simonyi,5.5,NA
Antennablennius variopunctatus,7.5,NA
Antennablennius velifer,NA,NA
Antennarius biocellatus,14,NA
Antennarius commerson,45,NA
Antennarius hispidus,20,NA
Antennarius indicus,23,NA
Antennarius maculatus,15,NA
Antennarius multiocellatus,20,NA
Antennarius pardalis,10.2,NA
Antennarius pauciradiatus,6.3,NA
Antennarius pictus,30,NA
Antennarius randalli,8,NA
Antennarius striatus,25,32.9
Antennatus analis,7.8,NA
Antennatus bermudensis,7.6,NA
Antennatus coccineus,13,NA
Antennatus dorehensis,14,NA
Antennatus duescus,3,NA
Antennatus flagellatus,4.89,NA
Antennatus linearis,7.5,NA
Antennatus nummifer,13,NA
Antennatus rosaceus,5.8,NA
Antennatus sanguineus,8.2,NA
Antennatus strigatus,8,NA
Antennatus tuberosus,9,NA
Anthias anthias,27,NA
Anthias asperilinguis,15.6,NA
Anthias cyprinoides,23.3,NA
Anthias helenensis,17.9,NA
Anthias menezesi,28,NA
