county,Average
"Polk County, FL",298.8333333333333
"Polk County, IA",228.47916666666666
"Portage County, OH",46.708333333333336
"Porter County, IN",57.479166666666664
"Potter County, TX",67.27083333333333
"Prince George's County, MD",470.1666666666667
"Prince William County, VA",255.0625
"Providence County, RI",265.0208333333333
"Pueblo County, CO",60.479166666666664
"Pulaski County, AR",231.29166666666666
"Queens County, NY",912.6666666666666
"Racine County, WI",76.83333333333333
"Ramsey County, MN",322.2916666666667
"Randall County, TX",53.25
"Randolph County, NC",49.333333333333336
"Rankin County, MS",54.145833333333336
"Rapides Parish, LA",50.4375
"Rensselaer County, NY",57.8125
"Richland County, OH",36.333333333333336
"Richland County, SC",156.47916666666666
"Richmond city, VA",138.58333333333334
"Richmond County, GA",115.52083333333333
"Richmond County, NY",166.10416666666666
"Riverside County, CA",1294.7291666666667
"Robeson County, NC",74.52083333333333
"Rock County, WI",62.958333333333336
"Rock Island County, IL",60.75
"Rockingham County, NH",92.0625
"Rockland County, NY",266.9166666666667
"Rowan County, NC",53.083333333333336
"Rutherford County, TN",112.89583333333333
"Sacramento County, CA",813.7291666666666
"Saginaw County, MI",84.08333333333333
"Saline County, AR",53.541666666666664
"Salt Lake County, UT",755.1041666666666
"San Bernardino County, CA",1218.0416666666667
"San Diego County, CA",1780.25
"San Francisco County, CA",377.25
"San Joaquin County, CA",473.5833333333333
"San Juan County, NM",60.895833333333336
"San Luis Obispo County, CA",97.33333333333333
"San Mateo County, CA",371.25
"Sandoval County, NM",40.479166666666664
"Sangamon County, IL",60.9375
"Santa Barbara County, CA",202.54166666666666
"Santa Clara County, CA",977.5208333333334
"Santa Cruz County, CA",114.22916666666667
"Santa Fe County, NM",30.395833333333332
"Santa Rosa County, FL",56.604166666666664
"Sarasota County, FL",106.4375
"Saratoga County, NY",72.33333333333333
"Sarpy County, NE",72.39583333333333
"Schenectady County, NY",53.645833333333336
"Schuylkill County, PA",44.3125
"Scott County, IA",87.33333333333333
"Scott County, MN",69.89583333333333
"Sebastian County, AR",54
"Sedgwick County, KS",225.20833333333334
"Seminole County, FL",166.125
"Shasta County, CA",72.22916666666667
"Shawnee County, KS",65.14583333333333
"Sheboygan County, WI",39.833333333333336
"Shelby County, AL",73.27083333333333
"Shelby County, TN",473.2291666666667
"Skagit County, WA",52.854166666666664
"Smith County, TX",94.375
"Snohomish County, WA",367.3541666666667
"Solano County, CA",227.10416666666666
"Somerset County, NJ",106.5625
"Sonoma County, CA",227.85416666666666
"Spartanburg County, SC",127.5
"Spokane County, WA",202.25
"Spotsylvania County, VA",59.4375
"St. Charles County, MO",119.64583333333333
"St. Clair County, IL",94
"St. Clair County, MI",44.1875
"St. Johns County, FL",72.97916666666667
"St. Joseph County, IN",130.75
"St. Lawrence County, NY",27.416666666666668
"St. Louis city, MO",133.0625
"St. Louis County, MN",76.5625
"St. Louis County, MO",338.875
"St. Lucie County, FL",110.77083333333333
"St. Mary's County, MD",53.979166666666664
"St. Tammany Parish, LA",82.70833333333333
"Stafford County, VA",68.45833333333333
"Stanislaus County, CA",314.125
"Stark County, OH",122.79166666666667
"Stearns County, MN",75.75
"Strafford County, NH",39.479166666666664
"Suffolk County, MA",371.7708333333333
"Suffolk County, NY",437.6666666666667
"Sullivan County, TN",40.791666666666664
"Summit County, OH",185.35416666666666
"Sumner County, TN",58.645833333333336
"Sumter County, SC",46.916666666666664
"Sussex County, DE",83.3125
"Sussex County, NJ",35.958333333333336
"Tangipahoa Parish, LA",62.6875
"Tarrant County, TX",980.5833333333334
"Taylor County, TX",51.5625
"Tazewell County, IL",49.8125
"Terrebonne Parish, LA",44.0625
"Thurston County, WA",117.5
"Tippecanoe County, IN",82.97916666666667
"Tolland County, CT",39.291666666666664
"Tom Green County, TX",45.458333333333336
"Tompkins County, NY",29.395833333333332
"Travis County, TX",612.75
"Trumbull County, OH",59.395833333333336
"Tulare County, CA",286.1458333333333
"Tulsa County, OK",298
"Tuscaloosa County, AL",86
"Ulster County, NY",47
"Union County, NC",89.70833333333333
"Union County, NJ",245.97916666666666
"Utah County, UT",569.9166666666666
"Vanderburgh County, IN",55.0625
"Ventura County, CA",360.9375
"Vigo County, IN",33.75
"Virginia Beach city, VA",217.72916666666666
"Volusia County, FL",179.29166666666666
"Wake County, NC",491.8333333333333
"Walworth County, WI",30.5
"Warren County, KY",64.83333333333333
"Warren County, NJ",29.375
"Warren County, OH",66.375
"Washington County, AR",113.45833333333333
"Washington County, MD",57.104166666666664
"Washington County, MN",113.60416666666667
"Washington County, OR",234.77083333333334
"Washington County, PA",69.89583333333333
"Washington County, RI",30.833333333333332
"Washington County, TN",40.416666666666664
"Washington County, UT",112.95833333333333
"Washington County, WI",42.166666666666664
"Washoe County, NV",204.72916666666666
"Washtenaw County, MI",136.8125
"Waukesha County, WI",133.77083333333334
"Wayne County, MI",950.25
"Wayne County, NC",71.22916666666667
"Wayne County, OH",46.145833333333336
"Webb County, TX",170.52083333333334
"Weber County, UT",184.27083333333334
"Weld County, CO",183.1875
"Westchester County, NY",355.0416666666667
"Westmoreland County, PA",111.6875
"Whatcom County, WA",87.64583333333333
"Whitfield County, GA",47.708333333333336
"Wichita County, TX",47.270833333333336
"Will County, IL",231.89583333333334
"Williamson County, TN",66.54166666666667
"Williamson County, TX",227.6875
"Wilson County, TN",47.145833333333336
"Windham County, CT",34.208333333333336
"Winnebago County, IL",110.72916666666667
"Winnebago County, WI",61.125
"Wood County, OH",36.833333333333336
"Woodbury County, IA",44.166666666666664
"Worcester County, MA",307.75
"Wright County, MN",64.33333333333333
"Wyandotte County, KS",106.08333333333333
"Yakima County, WA",168.0625
"Yavapai County, AZ",60.708333333333336
"Yellowstone County, MT",68.66666666666667
"Yolo County, CA",99.70833333333333
"York County, ME",64.375
"York County, PA",178.79166666666666
"York County, SC",95.875
"Yuma County, AZ",108.5625
